Recency,Frequency,Monetary
61,15,1012
35,20,1490
32,19,1432
11,22,1659
203,13,857
257,17,1185
2,15,1011
11,15,1158
10,24,1677
41,26,1524
42,16,1156
109,19,1331
73,18,1127
25,12,885
179,19,1165
39,24,1676
75,26,1921
106,12,853
3,19,1185
20,14,998
27,16,1074
23,19,1413
109,16,1166
335,20,1267
27,20,1339
55,20,1380
13,24,1863
111,18,1245
28,20,1434
53,25,1778
161,22,1847
212,16,1255
156,18,1222
142,27,1967
7,16,1117
4,15,1004
83,25,1733
15,25,1768
89,14,1075
26,16,1040
6,20,1457
34,18,1274
0,23,1436
126,19,1317
9,20,1445
19,21,1427
102,18,1159
36,22,1439
44,20,1380
4,22,1389
19,24,1815
38,18,1290
17,26,2037
94,20,1335
98,19,1507
119,16,1132
111,14,916
86,18,1175
3,18,1272
1,22,1555
258,18,1306
49,21,1429
23,23,1554
52,17,1106
29,18,1401
38,17,1310
31,22,1535
46,29,2091
54,23,1637
57,27,1893
102,24,1749
12,26,1967
0,28,1999
11,27,1801
52,19,1439
22,22,1559
4,16,1010
63,23,1564
40,18,1324
66,21,1522
38,18,1313
283,15,953
9,22,1505
20,20,1378
1,23,1559
161,17,1180
11,22,1571
124,20,1344
170,21,1667
52,19,1375
54,20,1331
48,21,1536
47,17,1023
3,17,1103
157,24,1514
39,18,1310
35,15,1000
2,27,1809
98,21,1546
57,18,1218
158,17,1200
127,18,1191
7,19,1289
133,35,2362
139,24,1798
77,20,1431
37,24,1687
4,21,1447
20,9,720
163,19,1372
45,21,1585
53,17,1299
115,8,578
47,17,999
54,18,1213
25,27,1783
46,19,1368
27,19,1194
5,20,1415
154,23,1750
95,20,1452
115,21,1374
4,21,1349
141,22,1507
42,22,1668
200,24,1823
20,26,1808
252,11,771
3,30,2126
28,27,1818
59,13,943
38,17,1087
141,21,1492
72,19,1321
295,20,1431
28,28,1773
9,17,1172
89,23,1846
12,24,1625
2,14,1035
107,18,1411
74,17,1399
3,21,1599
67,29,1998
213,19,1304
25,15,1050
25,22,1458
168,22,1679
146,26,1941
87,26,1943
84,16,1040
3,14,1096
3,12,959
51,14,1128
39,15,1076
110,26,1812
65,27,1946
68,19,1272
27,27,1990
35,25,1683
17,19,1279
27,25,1800
5,20,1381
0,18,1321
27,21,1505
88,17,1142
109,22,1572
47,21,1411
13,21,1262
12,23,1715
132,15,1014
19,22,1683
5,24,1836
25,24,1778
68,21,1511
190,20,1440
251,17,1125
3,19,1355
96,20,1625
0,15,1006
21,18,1307
74,21,1625
34,30,2129
3,22,1487
12,21,1505
64,12,765
44,21,1561
100,21,1552
7,18,1309
25,19,1250
30,19,1278
42,22,1634
79,15,874
105,16,1031
4,15,1153
73,18,1220
18,21,1487
64,12,761
120,15,1103
34,18,1129
18,16,1353
11,29,2072
519,13,891
74,15,1030
29,26,1726
18,16,1146
16,22,1693
88,18,1161
12,18,1382
0,21,1668
5,26,1964
125,23,1595
208,24,1611
203,18,1209
24,27,1940
14,23,1525
218,15,1043
122,17,1158
27,23,1750
10,15,1170
130,29,2010
46,8,625
79,25,1781
121,17,1157
108,24,1696
36,22,1668
19,18,1436
59,23,1680
126,20,1506
68,13,1038
1,16,1326
67,21,1489
24,25,1638
100,18,1193
167,15,1072
4,30,2000
58,22,1583
16,16,1086
32,27,1996
122,21,1505
40,20,1424
205,19,1408
407,16,1324
48,23,1507
80,24,1740
153,26,1775
11,19,1408
20,16,1145
42,18,1282
17,19,1470
6,23,1703
201,24,1632
66,27,1864
17,19,1225
27,22,1493
67,29,2146
4,15,960
46,25,1746
141,26,1864
159,22,1496
278,19,1412
85,30,1967
164,19,1357
127,17,1165
34,25,1512
143,18,1505
25,25,1671
136,15,1134
16,26,1857
389,22,1449
4,25,1845
115,25,1878
12,17,964
5,22,1478
71,14,998
127,18,1238
30,19,1275
19,18,1189
44,19,1210
4,25,1584
74,17,1227
99,19,1437
5,28,2046
14,22,1704
31,25,1852
166,30,2156
29,20,1354
23,26,1832
76,18,1193
14,30,2023
30,22,1660
43,22,1652
50,28,1900
19,26,1943
14,27,1842
13,28,1916
241,17,1214
86,24,1464
59,15,1160
56,17,1222
15,22,1599
59,19,1396
