customer_id,trans_date,tran_amount,response,month,month_name,month_year,cohort,tx_month,cohort_index
CS5295,2013-02-11,35,1,2,February,2013-02,2011-10,2013-02,16
CS4768,2015-03-15,39,1,3,March,2015-03,2011-05,2015-03,46
CS2122,2013-02-26,52,0,2,February,2013-02,2011-10,2013-02,16
CS1217,2011-11-16,99,0,11,November,2011-11,2011-05,2011-11,6
CS1850,2013-11-20,78,0,11,November,2013-11,2011-08,2013-11,27
CS5539,2014-03-26,81,0,3,March,2014-03,2011-05,2014-03,34
CS2724,2012-02-06,93,0,2,February,2012-02,2011-07,2012-02,7
CS5902,2015-01-30,89,0,1,January,2015-01,2011-05,2015-01,44
CS6040,2013-01-08,76,0,1,January,2013-01,2012-01,2013-01,12
CS3802,2013-08-20,75,1,8,August,2013-08,2011-05,2013-08,27
CS3494,2013-07-02,94,0,7,July,2013-07,2011-08,2013-07,23
CS3780,2013-03-25,80,0,3,March,2013-03,2011-12,2013-03,15
CS1171,2012-11-03,59,0,11,November,2012-11,2011-07,2012-11,16
CS2892,2013-05-12,43,0,5,May,2013-05,2011-07,2013-05,22
CS5552,2014-12-29,78,0,12,December,2014-12,2011-05,2014-12,43
CS6043,2014-01-15,98,0,1,January,2014-01,2011-06,2014-01,31
CS4147,2013-07-08,81,0,7,July,2013-07,2011-05,2013-07,26
CS4655,2013-12-30,93,0,12,December,2013-12,2011-05,2013-12,31
CS3904,2014-07-20,103,0,7,July,2014-07,2011-05,2014-07,38
CS4102,2011-07-09,96,0,7,July,2011-07,2011-07,2011-07,0
CS2086,2013-03-05,75,0,3,March,2013-03,2011-07,2013-03,20
CS6085,2013-01-09,49,0,1,January,2013-01,2011-07,2013-01,18
CS1328,2013-02-06,54,0,2,February,2013-02,2011-08,2013-02,18
CS4564,2012-03-27,48,0,3,March,2012-03,2011-05,2012-03,10
CS5910,2012-01-01,98,0,1,January,2012-01,2011-05,2012-01,8
CS2748,2013-03-23,37,1,3,March,2013-03,2011-06,2013-03,21
CS5147,2013-04-29,72,0,4,April,2013-04,2011-08,2013-04,20
CS1770,2012-11-02,83,0,11,November,2012-11,2011-09,2012-11,14
CS3510,2011-10-24,81,0,10,October,2011-10,2011-06,2011-10,4
CS2509,2011-12-05,105,0,12,December,2011-12,2011-12,2011-12,0
CS2859,2015-02-27,77,0,2,February,2015-02,2011-08,2015-02,42
CS1512,2015-02-21,71,0,2,February,2015-02,2012-01,2015-02,37
CS4148,2013-08-22,48,0,8,August,2013-08,2011-07,2013-08,25
CS1735,2012-03-31,70,0,3,March,2012-03,2011-07,2012-03,8
CS1588,2012-01-27,70,0,1,January,2012-01,2011-05,2012-01,8
CS5514,2013-01-09,36,1,1,January,2013-01,2011-10,2013-01,15
CS5933,2013-10-07,48,0,10,October,2013-10,2011-05,2013-10,29
CS2797,2014-03-06,87,1,3,March,2014-03,2011-06,2014-03,33
CS5313,2012-12-02,88,0,12,December,2012-12,2011-09,2012-12,15
CS5966,2012-03-09,39,0,3,March,2012-03,2011-08,2012-03,7
CS5211,2014-05-18,51,0,5,May,2014-05,2012-02,2014-05,27
CS1511,2015-01-13,47,0,1,January,2015-01,2011-05,2015-01,44
CS6087,2014-11-24,37,0,11,November,2014-11,2011-06,2014-11,41
CS5909,2012-02-04,80,0,2,February,2012-02,2011-11,2012-02,3
CS2845,2013-03-08,105,0,3,March,2013-03,2011-05,2013-03,22
CS1433,2012-11-05,78,0,11,November,2012-11,2011-06,2012-11,17
CS4897,2014-04-12,45,1,4,April,2014-04,2011-05,2014-04,35
CS2296,2012-12-28,79,0,12,December,2012-12,2011-06,2012-12,18
CS1494,2013-06-29,59,0,6,June,2013-06,2011-05,2013-06,25
CS3688,2014-06-19,55,0,6,June,2014-06,2011-05,2014-06,37
CS2287,2011-12-23,94,0,12,December,2011-12,2011-12,2011-12,0
CS3779,2011-06-26,69,0,6,June,2011-06,2011-06,2011-06,0
CS1423,2014-06-05,78,0,6,June,2014-06,2011-07,2014-06,35
CS2501,2012-11-14,59,1,11,November,2012-11,2011-05,2012-11,18
CS3434,2013-02-22,98,0,2,February,2013-02,2011-06,2013-02,20
CS2662,2014-08-31,88,0,8,August,2014-08,2011-05,2014-08,39
CS2209,2012-03-12,35,0,3,March,2012-03,2012-03,2012-03,0
CS4530,2011-06-05,40,0,6,June,2011-06,2011-06,2011-06,0
CS2848,2013-02-04,53,0,2,February,2013-02,2011-06,2013-02,20
CS2596,2011-09-19,55,0,9,September,2011-09,2011-07,2011-09,2
CS4421,2012-05-20,86,0,5,May,2012-05,2011-05,2012-05,12
CS4905,2012-04-13,93,0,4,April,2012-04,2011-06,2012-04,10
CS5704,2011-12-04,79,0,12,December,2011-12,2011-10,2011-12,2
CS2403,2014-07-27,94,1,7,July,2014-07,2011-12,2014-07,31
CS5480,2012-01-28,63,1,1,January,2012-01,2011-06,2012-01,7
CS5811,2013-08-23,91,1,8,August,2013-08,2011-05,2013-08,27
CS2051,2014-12-09,101,0,12,December,2014-12,2011-06,2014-12,42
CS3957,2012-08-30,69,0,8,August,2012-08,2011-07,2012-08,13
CS4704,2014-11-25,41,0,11,November,2014-11,2011-06,2014-11,41
CS2289,2012-05-19,67,0,5,May,2012-05,2011-09,2012-05,8
CS5218,2014-06-21,45,0,6,June,2014-06,2011-07,2014-06,35
CS4637,2011-05-20,71,1,5,May,2011-05,2011-05,2011-05,0
CS3158,2012-05-06,91,0,5,May,2012-05,2011-08,2012-05,9
CS4176,2012-07-30,49,0,7,July,2012-07,2011-06,2012-07,13
CS1939,2011-11-25,101,0,11,November,2011-11,2011-06,2011-11,5
CS5403,2011-12-01,64,0,12,December,2011-12,2011-07,2011-12,5
CS5489,2014-12-02,77,0,12,December,2014-12,2011-05,2014-12,43
CS4563,2011-05-30,101,0,5,May,2011-05,2011-05,2011-05,0
